Teams,Seasons,Players,Matches,Goals,Assists,Seasons Ratings
Salzburg,2019/2020,Noah Okafor,15,4,1,6.6
Basel,2018/2019,Noah Okafor,28,4,2,7.2
AC Milan,2023/2024,Yacine Adli,33,1,2,7.1
AC Milan,2022/2023,Yacine Adli,6,0,0,6.3
Bordeaux,2021/2022,Yacine Adli,36,1,7,6.9
Bordeaux,2020/2021,Yacine Adli,36,2,5,6.8
Bordeaux,2019/2020,Yacine Adli,25,3,3,6.6
Bordeaux,2018/2019,Yacine Adli,7,0,0,6.1
Man United,2023/2024,Diogo Dalot,50,3,5,7.2
Man United,2022/2023,Diogo Dalot,42,2,2,7.2
Man United,2021/2022,Diogo Dalot,30,0,0,7.4
AC Milan,2020/2021,Diogo Dalot,33,2,3,6.8
Man United,2019/2020,Diogo Dalot,11,1,0,7.3
Man United,2018/2019,Diogo Dalot,23,0,2,6.8
FC Porto,2017/2018,Diogo Dalot,7,0,1,6.9
Man United,2023/2024,Lisandro Martinez,14,0,1,6.6
Man United,2022/2023,Lisandro Martinez,45,1,0,7.2
Ajax,2021/2022,Lisandro Martinez,37,1,4,7.9
Ajax,2020/2021,Lisandro Martinez,42,3,1,7.2
Ajax,2019/2020,Lisandro Martinez,41,2,1,7
Defensa y Justicia,2018/2019,Lisandro Martinez,29,2,3,7
Lille,2023/2024,Leny Yoro,44,3,0,6.9
Lille,2022/2023,Leny Yoro,15,0,0,6.8
Lille,2021/2022,Leny Yoro,1,0,0,6.3
Man United,2023/2024,Jonny Evans,30,0,1,6.8
Leicester,2022/2023,Jonny Evans,14,0,0,6.5
Leicester,2021/2022,Jonny Evans,27,2,1,7.1
Leicester,2020/2021,Jonny Evans,37,2,2,6.9
Leicester,2019/2020,Jonny Evans,46,2,1,6.9
Leicester,2018/2019,Jonny Evans,28,1,0,6.8
West Brom,2017/2018,Jonny Evans,31,2,2,6.6
West Brom,2016/2017,Jonny Evans,31,2,1,7.2
West Brom,2015/2016,Jonny Evans,34,1,2,7
Man United,2023/2024,Scott McTominay,43,10,3,6.9
Man United,2022/2023,Scott McTominay,39,3,1,6.8
Man United,2021/2022,Scott McTominay,37,2,1,7.1
Man United,2020/2021,Scott McTominay,49,7,2,7.1
Man United,2019/2020,Scott McTominay,37,5,1,7
Man United,2018/2019,Scott McTominay,22,2,0,6.8
Man United,2017/2018,Scott McTominay,23,0,0,6.8
Man United,2016/2017,Scott McTominay,2,0,0,7.3
Arsenal,2023/2024,Oleksandr Zinchenko,35,1,2,7
Arsenal,2022/2023,Oleksandr Zinchenko,33,1,2,7.1
Man City,2021/2022,Oleksandr Zinchenko,28,0,6,7.2
Man City,2020/2021,Oleksandr Zinchenko,32,0,2,7.1
Man City,2019/2020,Oleksandr Zinchenko,25,1,0,6.9
Man City,2018/2019,Oleksandr Zinchenko,29,1,5,7.4
Man City,2017/2018,Oleksandr Zinchenko,14,0,0,7.3
Arsenal,2023/2024,Gabriel,50,4,0,7.1
Arsenal,2022/2023,Gabriel,48,3,0,7.1
Arsenal,2021/2022,Gabriel,38,5,0,7.1
Arsenal,2020/2021,Gabriel,32,3,1,6.7
Lille,2019/2020,Gabriel,34,1,0,6.7
Lille,2018/2019,Gabriel,17,1,0,7
Arsenal,2023/2024,Ben White,51,4,5,7.1
Arsenal,2022/2023,Ben White,46,2,5,7.1
Arsenal,2021/2022,Ben White,37,0,0,7
Brighton,2020/2021,Ben White,39,0,0,6.6
Leeds,2019/2020,Ben White,49,1,2,7
Arsenal,2023/2024,Jorginho,36,1,2,6.9
Arsenal,2022/2023,Jorginho,16,0,1,7.2
Chelsea,2021/2022,Jorginho,47,9,4,7.5
Chelsea,2020/2021,Jorginho,43,8,2,7.2
Chelsea,2019/2020,Jorginho,44,7,2,7.3
Chelsea,2018/2019,Jorginho,54,2,0,7
SSC Napoli,2017/2018,Jorginho,39,4,4,7.4
SSC Napoli,2016/2017,Jorginho,31,0,3,7.4
Arsenal,2023/2024,Thomas Partey,16,0,0,7
Arsenal,2022/2023,Thomas Partey,40,3,0,7.4
Arsenal,2021/2022,Thomas Partey,26,2,1,7.2
Arsenal,2020/2021,Thomas Partey,33,0,3,7.1
Atletico Madrid,2019/2020,Thomas Partey,46,4,1,7.2
Atletico Madrid,2018/2019,Thomas Partey,42,3,6,7.1
Atletico Madrid,2017/2018,Thomas Partey,50,5,1,7.2
Atletico Madrid,2016/2017,Thomas Partey,24,1,4,6.7
Arsenal,2023/2024,Declan Rice,51,7,9,7.6
West Ham,2022/2023,Declan Rice,50,5,4,7.5
West Ham,2021/2022,Declan Rice,50,5,4,7.6
West Ham,2020/2021,Declan Rice,35,2,1,7.1
West Ham,2019/2020,Declan Rice,40,1,3,6.9
West Ham,2018/2019,Declan Rice,38,2,1,6.9
West Ham,2017/2018,Declan Rice,31,0,0,6.3
Arsenal,2023/2024,Gabriel Jesus,36,8,8,7.1
Arsenal,2022/2023,Gabriel Jesus,33,11,7,7.3
Man City,2021/2022,Gabriel Jesus,41,13,11,7.4
Man City,2020/2021,Gabriel Jesus,42,14,4,7.2
Man City,2019/2020,Gabriel Jesus,53,23,11,7.3
Man City,2018/2019,Gabriel Jesus,47,21,7,7
Man City,2017/2018,Gabriel Jesus,42,17,3,7.1
Man City,2016/2017,Gabriel Jesus,11,7,5,8
Palmeiras,2015/2016,Gabriel Jesus,46,21,5,6.6
Palmeiras,2014/2015,Gabriel Jesus,37,7,4,6.5
Arsenal,2023/2024,Kai Havertz,51,14,7,7.1
Chelsea,2022/2023,Kai Havertz,47,9,1,6.9
Chelsea,2021/2022,Kai Havertz,47,14,5,7.1
Chelsea,2020/2021,Kai Havertz,45,9,6,6.9
Leverkusen,2019/2020,Kai Havertz,45,18,9,7.1
Leverkusen,2018/2019,Kai Havertz,42,20,6,7.4
Leverkusen,2017/2018,Kai Havertz,35,4,8,7
Leverkusen,2016/2017,Kai Havertz,28,4,5,6.7
Arsenal,2023/2024,Leandro Trossard,46,17,2,7
Arsenal,2022/2023,Leandro Trossard,22,1,10,7
Brighton,2021/2022,Leandro Trossard,35,8,3,7.1
Brighton,2020/2021,Leandro Trossard,38,5,5,6.8
Brighton,2019/2020,Leandro Trossard,31,5,3,6.5
Brighton,2018/2019,Leandro Trossard,47,22,10,7.5
Arsenal,2023/2024,Reiss Nelson,23,1,2,6.6
Arsenal,2022/2023,Reiss Nelson,18,3,3,7.1
Feyenoord,2021/2022,Reiss Nelson,32,4,7,7.3
Arsenal,2020/2021,Reiss Nelson,9,1,1,7
Arsenal,2019/2020,Reiss Nelson,22,3,3,6.6
Hoffenheim,2018/2019,Reiss Nelson,29,7,0,6.5
Arsenal,2017/2018,Reiss Nelson,16,0,0,7
SSC Napoli,2023/2024,Matteo Politano,48,9,8,7.1
SSC Napoli,2022/2023,Matteo Politano,37,4,4,7
SSC Napoli,2021/2022,Matteo Politano,39,5,6,6.8
SSC Napoli,2020/2021,Matteo Politano,50,12,4,6.9
SSC Napoli,2019/2020,Matteo Politano,20,2,2,6.6
Inter,2018/2019,Matteo Politano,48,6,7,7
Sassuolo,2017/2018,Matteo Politano,39,11,4,7
Sassuolo,2016/2017,Matteo Politano,42,8,6,6.9
SSC Napoli,2023/2024,Victor Osimhen,32,17,3,7.1
SSC Napoli,2022/2023,Victor Osimhen,39,31,4,7.6
SSC Napoli,2021/2022,Victor Osimhen,32,18,2,7.3
SSC Napoli,2020/2021,Victor Osimhen,30,10,3,6.9
Lille,2019/2020,Victor Osimhen,38,18,5,6.8
Sporting Charleroi,2018/2019,Victor Osimhen,36,20,4,7.1
Wolfsburg,2017/2018,Victor Osimhen,13,0,0,5.8
Wolfsburg,2016/2017,Victor Osimhen,3,0,0,5.9
SSC Napoli,2023/2024,Khvicha Kvaratskhelia,45,11,7,7.5
SSC Napoli,2022/2023,Khvicha Kvaratskhelia,43,14,14,7.6
Rubin,2021/2022,Khvicha Kvaratskhelia,22,2,4,7.3
Rubin,2020/2021,Khvicha Kvaratskhelia,23,4,4,7
Rubin,2019/2020,Khvicha Kvaratskhelia,28,3,2,6.6
Lokomotiv,2018/2019,Khvicha Kvaratskhelia,10,1,0,6.4
Roma,2023/2024,Chris Smalling,12,0,0,6.6
Roma,2022/2023,Chris Smalling,47,3,1,7
Roma,2021/2022,Chris Smalling,38,4,0,7
Roma,2020/2021,Chris Smalling,21,0,1,6.4
Roma,2019/2020,Chris Smalling,37,3,2,6.8
Man United,2018/2019,Chris Smalling,34,1,0,6.6
Man United,2017/2018,Chris Smalling,46,4,0,7.1
Man United,2016/2017,Chris Smalling,36,2,2,7
Man United,2015/2016,Chris Smalling,55,2,1,8.1
Roma,2023/2024,Leandro Paredes,49,5,7,7.4
Juventus,2022/2023,Leandro Paredes,35,1,1,6.9
PSG,2021/2022,Leandro Paredes,22,1,2,7.1
PSG,2020/2021,Leandro Paredes,36,1,3,7
PSG,2019/2020,Leandro Paredes,33,1,1,6.8
PSG,2018/2019,Leandro Paredes,22,0,2,7
Zenit,2017/2018,Leandro Paredes,39,6,8,7.7
Roma,2016/2017,Leandro Paredes,41,3,1,7.4
Roma,2023/2024,Paulo Dybala,39,16,10,7.4
Roma,2022/2023,Paulo Dybala,38,18,7,7.5
Juventus,2021/2022,Paulo Dybala,39,15,6,7.5
Juventus,2020/2021,Paulo Dybala,26,5,3,7.1
Juventus,2019/2020,Paulo Dybala,46,17,9,7.5
Juventus,2018/2019,Paulo Dybala,42,10,4,7.2
Juventus,2017/2018,Paulo Dybala,46,26,6,7.7
Juventus,2016/2017,Paulo Dybala,48,19,8,7.5
Lazio,2023/2024,Pedro Rodriguez,45,3,1,6.5
Lazio,2022/2023,Pedro Rodriguez,46,7,4,6.9
Lazio,2021/2022,Pedro Rodriguez,41,10,6,7.1
Roma,2020/2021,Pedro Rodriguez,40,6,4,7
Chelsea,2019/2020,Pedro Rodriguez,23,2,3,7
Chelsea,2018/2019,Pedro Rodriguez,52,13,5,7.2
Chelsea,2017/2018,Pedro Rodriguez,48,7,5,6.9
Chelsea,2016/2017,Pedro Rodriguez,43,13,11,7.6
Benfica,2023/2024,Nicolas Otamendi,51,4,2,7.4
Benfica,2022/2023,Nicolas Otamendi,46,2,1,7.5
Benfica,2021/2022,Nicolas Otamendi,43,0,1,7.3
Benfica,2020/2021,Nicolas Otamendi,38,1,0,6.9
Man City,2019/2020,Nicolas Otamendi,39,3,0,6.8
Man City,2018/2019,Nicolas Otamendi,33,1,1,7.3
Man City,2017/2018,Nicolas Otamendi,46,5,0,7.2
Man City,2016/2017,Nicolas Otamendi,43,1,1,7.6
Juventus,2023/2024,Adrien Rabiot,35,5,3,7.4
Juventus,2022/2023,Adrien Rabiot,48,11,5,7.4
Juventus,2021/2022,Adrien Rabiot,45,0,2,7.2
Juventus,2020/2021,Adrien Rabiot,47,5,3,7.2
Juventus,2019/2020,Adrien Rabiot,37,1,1,6.9
PSG,2018/2019,Adrien Rabiot,20,2,2,7.4
PSG,2017/2018,Adrien Rabiot,50,5,7,7.1
PSG,2016/2017,Adrien Rabiot,39,4,4,7.4
AC Milan,2023/2024,Theo Hernandez,47,5,11,7.4
AC Milan,2022/2023,Theo Hernandez,45,4,5,7.3
AC Milan,2021/2022,Theo Hernandez,41,5,9,7.6
AC Milan,2020/2021,Theo Hernandez,45,8,7,7.3
AC Milan,2019/2020,Theo Hernandez,36,7,3,7.3
Real Sociedad,2018/2019,Theo Hernandez,28,1,2,6.8
Real Madrid,2017/2018,Theo Hernandez,23,0,2,7.1
Deportivo Alaves,2016/1017,Theo Hernandez,38,2,3,7.1
AC Milan,2023/2024,Olivier Giroud,48,17,9,7
AC Milan,2022/2023,Olivier Giroud,47,18,7,7
AC Milan,2021/2022,Olivier Giroud,38,14,3,7.1
Chelsea,2020/2021,Olivier Giroud,31,11,0,6.7
Chelsea,2019/2020,Olivier Giroud,25,10,1,6.9
Chelsea,2018/2019,Olivier Giroud,45,13,9,6.9
Chelsea,2017/2018,Olivier Giroud,18,5,3,6.7
Inter,2023/2024,Marcus Thuram,46,15,7,7.3
M'gladbach,2022/2023,Marcus Thuram,32,16,7,7.3
M'gladbach,2021/2022,Marcus Thuram,23,3,0,6.7
M'gladbach,2020/2021,Marcus Thuram,40,11,5,6.9
M'gladbach,2019/2020,Marcus Thuram,39,14,8,7.1
Guingamp,2018/2019,Marcus Thuram,38,13,1,6.9
Guingamp,2017/2018,Marcus Thuram,34,4,1,6.7
Sochaux,2016/2017,Marcus Thuram,23,1,1,6
Brighton,2023/2024,Lewis Dunk,43,4,1,6.9
Brighton,2022/2023,Lewis Dunk,42,2,0,7.1
Brighton,2021/2022,Lewis Dunk,31,1,0,6.9
Brighton,2020/2021,Lewis Dunk,37,5,0,6.8
Brighton,2019/2020,Lewis Dunk,36,3,3,6.7
Brighton,2018/2019,Lewis Dunk,38,2,1,6.5
Brighton,2017/2018,Lewis Dunk,39,1,1,6.7
Brighton,2016/2017,Lewis Dunk,43,2,1,7.4
Aston Villa,2023/2024,Ezri Konsa,50,1,0,6.8
Aston Villa,2022/2023,Ezri Konsa,40,0,0,6.8
Aston Villa,2021/2022,Ezri Konsa,31,2,0,6.6
Aston Villa,2020/2021,Ezri Konsa,37,2,0,6.7
Aston Villa,2019/2020,Ezri Konsa,31,2,2,6.3
Aston Villa,2018/2019,Ezri Konsa,47,1,0,6.6
Crystal Palace,2023/2024,Marc Guehi,29,0,1,6.8
Crystal Palace,2022/2023,Marc Guehi,40,1,0,7
Crystal Palace,2021/2022,Marc Guehi,42,4,1,7.1
Swansea,2020/2021,Marc Guehi,45,0,0,6.9
Swansea,2019/2020,Marc Guehi,14,0,0,6.7
Crystal Palace,2023/2024,Eberechi Eze,31,11,6,7.6
Crystal Palace,2022/2023,Eberechi Eze,40,10,4,7.2
Crystal Palace,2021/2022,Eberechi Eze,17,1,1,6.9
Crystal Palace,2020/2021,Eberechi Eze,36,4,6,6.9
QPR,2019/2020,Eberechi Eze,48,14,8,7.3
QPR,2018/2019,Eberechi Eze,46,4,3,6.6
QPR,2017/2018,Eberechi Eze,17,2,0,6.7
Brentford,2023/2024,Ivan Toney,17,4,2,7.1
Brentford,2022/2023,Ivan Toney,35,21,5,7.4
Brentford,2021/2022,Ivan Toney,37,14,6,7.4
Brentford,2020/2021,Ivan Toney,52,33,10,7.4
Peterborough,2019/2020,Ivan Toney,39,26,6,7.6
Man United,2023/2024,Kobbie Mainoo,32,5,1,7
Man United,2022/2023,Kobbie Mainoo,3,0,0,6.3
Sevilla,2023/2024,Jesus Navas,36,0,2,6.8
Sevilla,2022/2023,Jesus Navas,49,0,4,6.9
Sevilla,2021/2022,Jesus Navas,33,0,3,7
Sevilla,2020/2021,Jesus Navas,43,0,6,7.1
Sevilla,2019/2020,Jesus Navas,47,0,10,7
Sevilla,2018/2019,Jesus Navas,44,2,7,7
Sevilla,2017/2018,Jesus Navas,44,3,2,6.7
Man City,2016/2017,Jesus Navas,36,0,3,6.8
Real Sociedad,2023/2024,Robin Le Normand,43,2,0,7
Real Sociedad,2022/2023,Robin Le Normand,41,0,0,6.9
Real Sociedad,2021/2022,Robin Le Normand,48,2,2,7
Real Sociedad,2020/2021,Robin Le Normand,43,0,1,6.7
Real Sociedad,2019/2020,Robin Le Normand,39,2,0,6.8
Real Sociedad,2018/2019,Robin Le Normand,7,0,2,6.6
Real Betis,2023/2024,Juan Miranda,32,2,2,7
Real Betis,2022/2023,Juan Miranda,31,3,5,7.2
Real Betis,2021/2022,Juan Miranda,23,1,2,7.1
Real Betis,2020/2021,Juan Miranda,25,2,2,6.8
Schalke 04,2019/2020,Juan Miranda,12,0,1,6
Barcelona,2018/2019,Juan Miranda,4,0,0,7.2
RB Leipzig,2023/2024,Dani Olmo,25,8,5,7.3
RB Leipzig,2022/2023,Dani Olmo,31,5,9,7.3
RB Leipzig,2021/2022,Dani Olmo,31,4,5,6.9
RB Leipzig,2020/2021,Dani Olmo,46,7,11,7.2
RB Leipzig,2019/2020,Dani Olmo,15,5,1,6.8
Dinamo Zagreb,2018/2019,Dani Olmo,44,12,3,7.8
PSG,2023/2024,Fabian Ruiz,35,3,7,7.4
PSG,2022/2023,Fabian Ruiz,37,3,3,7.2
SSC Napoli,2021/2022,Fabian Ruiz,38,7,5,7.4
SSC Napoli,2020/2021,Fabian Ruiz,42,4,1,7.2
SSC Napoli,2019/2020,Fabian Ruiz,46,4,6,7.2
SSC Napoli,2018/2019,Fabian Ruiz,40,7,4,7.4
Real Betis,2017/2018,Fabian Ruiz,35,3,6,7.4
Real Betis,2016/2017,Fabian Ruiz,5,0,0,6.4
Villarreal,2023/2024,Alex Baena,45,5,17,7.2
Villarreal,2022/2023,Alex Baena,48,12,3,7.1
Girona,2021/2022,Alex Baena,45,5,6,7
Villarreal,2020/2021,Alex Baena,20,2,3,6.8
Villarreal,2019/2020,Alex Baena,2,0,2,5.7
Real Madrid,2023/2024,Joselu,49,18,3,7
Espanyol,2022/2023,Joselu,38,17,3,7.2
Deportivo Alaves,2021/2022,Joselu,38,14,4,7.2
Deportivo Alaves,2020/2021,Joselu,38,11,3,7.2
Deportivo Alaves,2019/2020,Joselu,37,11,2,6.9
Newcastle,2018/2019,Joselu,20,3,1,6.3
Newcastle,2017/2018,Joselu,32,4,1,6.5
Deportivo La Coruna,2016/2017,Joselu,24,6,1,6.5
Athletic Club,2023/2024,Nico Williams,37,8,16,7.4
Athletic Club,2022/2023,Nico Williams,43,9,4,7.1
Athletic Club,2021/2022,Nico Williams,40,3,1,6.6
Athletic Club,2020/2021,Nico Williams,2,0,0,6.4
Real Sociedad,2023/2024,Mikel Oyarzabal ,44,14,3,6.9
Real Sociedad,2022/2023,Mikel Oyarzabal ,28,4,1,6.5
Real Sociedad,2021/2022,Mikel Oyarzabal ,33,15,4,7.2
Real Sociedad,2020/2021,Mikel Oyarzabal ,43,13,10,7.1
Real Sociedad,2019/2020,Mikel Oyarzabal ,45,13,13,7.1
Real Sociedad,2018/2019,Mikel Oyarzabal ,41,14,2,6.7
Real Sociedad,2017/2018,Mikel Oyarzabal ,43,14,6,7
Real Sociedad,2016/2017,Mikel Oyarzabal ,43,4,8,6.6
